trial,time
1,1215
2,1296
3,1083
4,1228
5,1037
6,1390
7,1132
8,1199
9,1378
10,1260
11,1236
12,1261
13,1133
14,1163
15,1276
16,1191
17,1261
18,1067
19,1498
20,1429
